county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Bay,City of Bay City Ward 9 Precinct 1,Straight Party,,REP,Republican Party,515,278,106,131,
Bay,City of Bay City Ward 9 Precinct 1,Straight Party,,LIB,Libertarian Party,6,3,1,2,
Bay,City of Bay City Ward 9 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,1,1,0,0,
Bay,City of Bay City Ward 9 Precinct 1,Straight Party,,GRN,Green Party,4,0,0,4,
Bay,City of Bay City Ward 9 Precinct 1,Straight Party,,WCP,Working Class Party,7,5,1,1,
Bay,City of Bay City Ward 9 Precinct 1,Straight Party,,NLP,Natural Law Party,3,2,0,1,
Bay,City of Essexville Precinct 1,Straight Party,,DEM,Democratic Party,317,112,39,166,
Bay,City of Essexville Precinct 1,Straight Party,,REP,Republican Party,254,150,51,53,
Bay,City of Essexville Precinct 1,Straight Party,,LIB,Libertarian Party,1,1,0,0,
Bay,City of Essexville Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Bay,City of Essexville Precinct 1,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,City of Essexville Precinct 1,Straight Party,,WCP,Working Class Party,3,1,1,1,
Bay,City of Essexville Precinct 1,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,City of Essexville Precinct 2,Straight Party,,DEM,Democratic Party,255,82,39,134,
Bay,City of Essexville Precinct 2,Straight Party,,REP,Republican Party,279,138,52,89,
Bay,City of Essexville Precinct 2,Straight Party,,LIB,Libertarian Party,4,1,0,3,
Bay,City of Essexville Precinct 2,Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Bay,City of Essexville Precinct 2,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,City of Essexville Precinct 2,Straight Party,,WCP,Working Class Party,6,4,0,2,
Bay,City of Essexville Precinct 2,Straight Party,,NLP,Natural Law Party,1,0,0,1,
Bay,City of Pinconning Precinct 1,Straight Party,,DEM,Democratic Party,131,122,9,0,
Bay,City of Pinconning Precinct 1,Straight Party,,REP,Republican Party,182,169,13,0,
Bay,City of Pinconning Precinct 1,Straight Party,,LIB,Libertarian Party,0,0,0,0,
Bay,City of Pinconning Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,3,3,0,0,
Bay,City of Pinconning Precinct 1,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,City of Pinconning Precinct 1,Straight Party,,WCP,Working Class Party,3,3,0,0,
Bay,City of Pinconning Precinct 1,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,Frankenlust Township Precinct 1,Straight Party,,DEM,Democratic Party,431,106,76,249,
Bay,Frankenlust Township Precinct 1,Straight Party,,REP,Republican Party,790,295,179,316,
Bay,Frankenlust Township Precinct 1,Straight Party,,LIB,Libertarian Party,4,3,1,0,
Bay,Frankenlust Township Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,3,2,1,0,
Bay,Frankenlust Township Precinct 1,Straight Party,,GRN,Green Party,3,3,0,0,
Bay,Frankenlust Township Precinct 1,Straight Party,,WCP,Working Class Party,5,1,3,1,
Bay,Frankenlust Township Precinct 1,Straight Party,,NLP,Natural Law Party,1,0,0,1,
Bay,Fraser Township Precinct 1,Straight Party,,DEM,Democratic Party,337,312,25,0,
Bay,Fraser Township Precinct 1,Straight Party,,REP,Republican Party,651,556,95,0,
Bay,Fraser Township Precinct 1,Straight Party,,LIB,Libertarian Party,5,5,0,0,
Bay,Fraser Township Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Bay,Fraser Township Precinct 1,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,Fraser Township Precinct 1,Straight Party,,WCP,Working Class Party,8,7,1,0,
Bay,Fraser Township Precinct 1,Straight Party,,NLP,Natural Law Party,2,2,0,0,
Bay,Garfield Township Precinct 1,Straight Party,,DEM,Democratic Party,144,140,4,0,
Bay,Garfield Township Precinct 1,Straight Party,,REP,Republican Party,319,291,28,0,
Bay,Garfield Township Precinct 1,Straight Party,,LIB,Libertarian Party,4,4,0,0,
Bay,Garfield Township Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,1,1,0,0,
Bay,Garfield Township Precinct 1,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,Garfield Township Precinct 1,Straight Party,,WCP,Working Class Party,6,5,1,0,
Bay,Garfield Township Precinct 1,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,Gibson Township Precinct 1,Straight Party,,DEM,Democratic Party,64,59,5,0,
Bay,Gibson Township Precinct 1,Straight Party,,REP,Republican Party,223,221,2,0,
Bay,Gibson Township Precinct 1,Straight Party,,LIB,Libertarian Party,3,3,0,0,
Bay,Gibson Township Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,1,1,0,0,
Bay,Gibson Township Precinct 1,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,Gibson Township Precinct 1,Straight Party,,WCP,Working Class Party,3,3,0,0,
Bay,Gibson Township Precinct 1,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,Hampton Township Precinct 1,Straight Party,,DEM,Democratic Party,166,52,21,93,
Bay,Hampton Township Precinct 1,Straight Party,,REP,Republican Party,164,81,34,49,
Bay,Hampton Township Precinct 1,Straight Party,,LIB,Libertarian Party,1,1,0,0,
Bay,Hampton Township Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Bay,Hampton Township Precinct 1,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,Hampton Township Precinct 1,Straight Party,,WCP,Working Class Party,1,1,0,0,
Bay,Hampton Township Precinct 1,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,Hampton Township Precinct 2,Straight Party,,DEM,Democratic Party,221,41,20,160,
Bay,Hampton Township Precinct 2,Straight Party,,REP,Republican Party,288,128,51,109,
Bay,Hampton Township Precinct 2,Straight Party,,LIB,Libertarian Party,0,0,0,0,
Bay,Hampton Township Precinct 2,Straight Party,,UST,U.S. Taxpayers Party,1,0,1,0,
Bay,Hampton Township Precinct 2,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,Hampton Township Precinct 2,Straight Party,,WCP,Working Class Party,5,4,1,0,
Bay,Hampton Township Precinct 2,Straight Party,,NLP,Natural Law Party,1,1,0,0,
Bay,Hampton Township Precinct 3,Straight Party,,DEM,Democratic Party,273,64,33,176,
Bay,Hampton Township Precinct 3,Straight Party,,REP,Republican Party,273,125,57,91,
Bay,Hampton Township Precinct 3,Straight Party,,LIB,Libertarian Party,1,0,0,1,
Bay,Hampton Township Precinct 3,Straight Party,,UST,U.S. Taxpayers Party,2,0,0,2,
Bay,Hampton Township Precinct 3,Straight Party,,GRN,Green Party,1,0,0,1,
Bay,Hampton Township Precinct 3,Straight Party,,WCP,Working Class Party,4,3,1,0,
Bay,Hampton Township Precinct 3,Straight Party,,NLP,Natural Law Party,1,1,0,0,
Bay,Hampton Township Precinct 4,Straight Party,,DEM,Democratic Party,400,89,58,253,
Bay,Hampton Township Precinct 4,Straight Party,,REP,Republican Party,332,140,79,113,
Bay,Hampton Township Precinct 4,Straight Party,,LIB,Libertarian Party,4,3,1,0,
Bay,Hampton Township Precinct 4,Straight Party,,UST,U.S. Taxpayers Party,3,3,0,0,
Bay,Hampton Township Precinct 4,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,Hampton Township Precinct 4,Straight Party,,WCP,Working Class Party,10,8,2,0,
Bay,Hampton Township Precinct 4,Straight Party,,NLP,Natural Law Party,1,1,0,0,
Bay,Hampton Township Precinct 5,Straight Party,,DEM,Democratic Party,201,78,23,100,
Bay,Hampton Township Precinct 5,Straight Party,,REP,Republican Party,230,124,34,72,
Bay,Hampton Township Precinct 5,Straight Party,,LIB,Libertarian Party,3,2,0,1,
Bay,Hampton Township Precinct 5,Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Bay,Hampton Township Precinct 5,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,Hampton Township Precinct 5,Straight Party,,WCP,Working Class Party,3,2,1,0,
Bay,Hampton Township Precinct 5,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,Kawkawlin Township Precinct 1,Straight Party,,DEM,Democratic Party,460,155,39,266,
Bay,Kawkawlin Township Precinct 1,Straight Party,,REP,Republican Party,772,489,81,202,
Bay,Kawkawlin Township Precinct 1,Straight Party,,LIB,Libertarian Party,6,4,0,2,
Bay,Kawkawlin Township Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,4,3,0,1,
Bay,Kawkawlin Township Precinct 1,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,Kawkawlin Township Precinct 1,Straight Party,,WCP,Working Class Party,9,8,0,1,
Bay,Kawkawlin Township Precinct 1,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,Merritt Township Precinct 1,Straight Party,,DEM,Democratic Party,104,91,13,0,
