county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Branch,Ovid Township,Straight Party,,GRN,Green,2,,,,
Branch,Ovid Township,Straight Party,,WCP,Working Class,6,,,,
Branch,Ovid Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Quincy Township,Straight Party,,DEM,Democratic,262,,,,
Branch,Quincy Township,Straight Party,,REP,Republican,923,,,,
Branch,Quincy Township,Straight Party,,LIB,Libertarian,9,,,,
Branch,Quincy Township,Straight Party,,UST,U.S. Taxpayers,1,,,,
Branch,Quincy Township,Straight Party,,GRN,Green,1,,,,
Branch,Quincy Township,Straight Party,,WCP,Working Class,5,,,,
Branch,Quincy Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Sherwood Township,Straight Party,,DEM,Democratic,139,,,,
Branch,Sherwood Township,Straight Party,,REP,Republican,486,,,,
Branch,Sherwood Township,Straight Party,,LIB,Libertarian,1,,,,
Branch,Sherwood Township,Straight Party,,UST,U.S. Taxpayers,2,,,,
Branch,Sherwood Township,Straight Party,,GRN,Green,0,,,,
Branch,Sherwood Township,Straight Party,,WCP,Working Class,3,,,,
Branch,Sherwood Township,Straight Party,,NLP,Natural Law,2,,,,
Branch,Union Township,Straight Party,,DEM,Democratic,214,,,,
Branch,Union Township,Straight Party,,REP,Republican,671,,,,
Branch,Union Township,Straight Party,,LIB,Libertarian,3,,,,
Branch,Union Township,Straight Party,,UST,U.S. Taxpayers,1,,,,
Branch,Union Township,Straight Party,,GRN,Green,2,,,,
Branch,Union Township,Straight Party,,WCP,Working Class,8,,,,
Branch,Union Township,Straight Party,,NLP,Natural Law,0,,,,
